      a,       b,      w0,      w1,       x,       y,       z
      11,       3,    -339,     370,      10,      16,       5
      13,      18,    1053,     563,      21,      18,      -2
      14,       0,    -459,     550,      23,      17,     -10
     -10,     -21,    -879,      96,       5,      -2,      17
      21,     -12,    -459,     180,       0,      10,      10
     -11,       3,    -411,      30,       4,      -7,      15
       6,      12,      21,     518,      10,      15,      31
      19,      -6,    -195,     165,     -11,      28,      20
      12,       9,     765,     730,      34,       7,       6
       0,       6,     189,     100,      27,     -19,      16
      17,       0,    -459,     370,      10,       6,      10
      29,       2,    -419,     395,       5,      18,       5
      11,       6,     -99,     357,      15,       7,       4
       6,       8,    -107,     454,      11,      25,       9
       6,       0,    -459,     268,      14,      10,       0
      18,       9,     225,     598,      19,      -1,      19
      22,      10,     221,     718,      17,       1,      29
       0,       0,    -459,     272,       7,      23,       0
       2,      39,       9,     104,       3,       8,       0
      14,       6,     141,     640,      25,      18,      -5
      19,      -2,    -747,    1118,      36,       9,      16
      19,       2,    -443,     256,       2,      11,      12
       4,       4,    -187,     286,      17,       2,      12
       9,      17,     357,     248,      12,       6,       1
       0,      23,     369,     248,       9,      13,       8
       7,      12,     309,     318,      16,       3,      10
      37,      20,   -1019,    -193,      -7,       6,       6
      15,      12,     309,     614,      16,       7,      26
      33,      14,    1333,    1426,      32,      13,       6
       0,      15,     201,     268,      11,       9,      14
     -10,       1,    -455,     106,       1,      -1,      15
       5,      15,     621,     328,      18,       5,      10
