       a,       b,      w0,      w1,       x,       y,       z
      11,       3,    -339,     370,      10,      16,       5
      13,      18,    1053,     563,      21,      18,      -2
      14,       0,    -459,     550,      23,      17,     -10
     -10,     -21,    -879,      96,       5,      -2,      17
      21,     -12,    -459,     180,       0,      10,      10
     -11,       3,    -411,      30,       4,      -7,      15
       6,      12,      21,     518,      10,      15,      31
      19,      -6,    -195,     165,     -11,      28,      20
      12,       9,     765,     730,      34,       7,       6
       0,       6,     189,     100,      27,     -19,      16
      17,       0,    -459,     370,      10,       6,      10
      29,       2,    -419,     395,       5,      18,       5
      11,       6,     -99,     357,      15,       7,       4
       6,       8,    -107,     454,      11,      25,       9
       6,       0,    -459,     268,      14,      10,       0
      18,       9,     225,     598,      19,      -1,      19
      22,      10,     221,     718,      17,       1,      29
       0,       0,    -459,     272,       7,      23,       0
       2,      39,       9,     104,       3,       8,       0
      14,       6,     141,     640,      25,      18,      -5
      19,      -2,    -747,    1118,      36,       9,      16
      19,       2,    -443,     256,       2,      11,      12
       4,       4,    -187,     286,      17,       2,      12
       9,      17,     357,     248,      12,       6,       1
       0,      23,     369,     248,       9,      13,       8
       7,      12,     309,     318,      16,       3,      10
      37,      20,   -1019,    -193,      -7,       6,       6
      15,      12,     309,     614,      16,       7,      26
      33,      14,    1333,    1426,      32,      13,       6
       0,      15,     201,     268,      11,       9,      14
     -10,       1,    -455,     106,       1,      -1,      15
       5,      15,     621,     328,      18,       5,      10
      13,      10,    -299,     200,       4,      10,       3
       6,      10,    -179,     318,       7,       5,      23
       5,      14,   -1131,    -164,     -12,      -8,       6
      -2,      35,    1781,     262,      16,       3,      21
       3,       6,     -27,     110,      18,       2,      -9
      20,       6,    -411,      64,       2,      -6,       9
      -3,       8,    -491,      61,      -1,       0,       8
      20,      28,     549,     378,       9,      16,      -2
     -10,      23,    1657,     334,      23,      17,      32
       8,      -7,   -1271,     338,      29,      -6,      -1
       4,       1,    -399,     206,      15,       0,       7
       6,       4,    -459,     234,       0,      17,       8
      21,      22,    1389,     655,      21,      16,      -9
      34,      -9,    -711,     516,       7,       6,      22
       3,      13,   -1135,     -89,     -13,      -2,       6
      10,       1,    -355,     594,      26,       5,      16
      18,      17,    1105,     750,      23,      15,       6
      22,      34,    2533,     700,      22,       2,       8
       4,      11,     113,     308,      13,       9,      11
       2,      36,    1413,      68,      13,      -2,      -2
      14,       2,    -355,     142,      13,      -3,     -11
      10,      20,     741,     274,      15,      -7,      13
      22,       3,    -291,     586,      14,      21,      -2
      -7,       9,       9,     157,      13,       9,      10
      13,       5,    -199,     385,      13,       9,       6
       3,      -1,    -463,     175,       1,      15,       2
      24,      26,    2661,     960,      30,      14,     -10
      15,       6,    -147,     703,      13,      31,      15
       1,      23,    2117,     340,      28,       8,       8
      13,       1,    -399,     291,      15,       3,      -3
      12,      25,    1741,     540,      22,       8,       8
       2,      11,    -811,     -12,      -8,      -2,       9
       5,      30,    1221,     250,      14,      12,      -3
      37,      -1,    -503,     673,      11,      16,       5
       7,      -7,    -319,      95,      -5,       8,      10
       8,      18,     477,     332,      13,      23,     -10
       4,      20,   -2059,     -88,     -20,      -4,      19
       3,      37,     -15,       7,       3,       6,     -10
      -5,       5,    -279,     217,       9,       0,      26
      -4,       4,    -347,     444,       7,      31,      15
      -7,      20,     421,     135,      11,       5,      12
     -10,      18,    1413,     146,      26,      17,      10
      17,       6,    -507,     194,      -2,      12,      15
       4,       5,     -99,     506,      18,      23,      12
       0,       6,    -291,     234,       7,      16,       4
      13,       8,     -43,     533,      13,      15,      17
      18,       5,    -599,     234,      -7,      17,      29
       4,      16,     565,     566,      16,      35,       7
      21,      -3,    -459,     172,       0,       6,      14
      15,       8,    -139,     446,      10,      14,      12
      15,      10,    -339,     315,       3,      10,      19
       4,      35,    4581,     468,      36,       2,      11
      15,      15,    -339,     406,       2,      26,      13
      18,      25,      41,      94,       5,       3,      -7
      33,      11,    -327,     299,       3,       3,      19
       7,       6,      69,     492,      22,      15,       7
      36,      20,    1461,    1176,      24,       8,      11
       5,      15,    -399,     -11,       1,       1,      -4
      12,       6,    -219,     296,      10,       6,       7
      16,      -2,    -619,     726,      20,      23,       7
       5,       4,    -411,     373,       3,      14,      25
       5,      13,     425,     453,      17,      25,       2
       9,       3,    -327,     305,      11,      14,       0
      19,      15,    1281,    1049,      29,      10,      28
       5,      -8,    -267,      50,      -6,      10,       2
      11,       2,    -427,     184,       4,      10,       2
      19,       0,    -459,     662,      22,       4,       9
      19,       4,    -331,     422,       8,      15,       9
       3,      20,     821,     414,      16,      15,      15
       7,      -2,    -563,     427,      13,       5,      26
      -4,      19,     681,     222,      15,      20,      -1
      11,       2,    -459,     210,       0,      21,       0
      30,       7,    -459,     260,       0,      26,       0
      -4,       0,    -459,     204,      16,      10,       9
      33,      13,     321,     965,      15,      30,      10
      11,      11,    -327,      51,       3,       0,       0
      18,      24,    1653,     916,      22,      10,      36
      27,       1,    -387,     760,      18,      11,       7
       8,       7,     185,     282,      23,       4,     -10
       7,      32,     309,     292,       6,       7,      18
      -7,      27,    1053,     418,      14,      12,      39
      -4,       2,    -147,     122,      39,       2,       3
      22,      12,     117,     430,      12,       7,       3
       5,       4,    -283,     175,      11,      -1,       8
      -4,      18,     333,     340,      11,      19,      16
      31,      -5,    -759,     871,      15,      14,      22
      23,      18,     261,     370,      10,       8,       0
       9,      29,    1861,     376,      20,       6,       2
      17,       5,    -179,     478,      14,      10,       7
       9,       3,    -171,     424,      24,       0,       8
      20,       0,    -459,     118,      13,       2,     -30
      -1,       6,    -243,     369,       9,      22,      13
      -6,      24,    -363,     252,       1,      10,      19
      27,       9,    -783,     -79,      -9,      13,      11
      11,       1,    -415,     453,      11,      13,      17
       0,      -9,    -891,     522,      12,      25,      25
      19,      17,    -255,     289,       3,       7,      18
      -4,      13,     269,     168,      14,      10,       5
      18,      14,     101,     266,      10,      -3,       7
      23,      27,     729,     309,      11,      -1,       0
       3,      -9,   -1251,     340,      22,       3,      14
     -12,      10,    -659,     212,      -5,       7,      14
      12,      17,     833,     594,      19,      14,      14
       2,      25,    -959,     226,      -5,      17,      12
      27,       2,    -331,     808,      16,      16,      15
      19,       2,    -139,     950,      40,      -5,       0
      20,       4,    -139,     606,      20,       3,       7
      20,       5,    -659,    -308,     -10,       0,      -6
       4,       3,    -459,     -58,       0,      -5,      -1
      16,      24,    -363,     140,       1,       7,       6
      10,      12,     117,     218,      12,       9,      -8
       8,       7,     297,     548,      27,       5,      15
      14,      11,     -63,      34,       9,     -13,      -2
      11,      17,     -51,     486,       6,      32,       8
       6,      52,     997,     476,       7,      20,      24
      25,      10,    -219,     324,       6,      -3,      21
      21,      22,     245,     810,       8,      33,      33
      -2,      24,    1365,      98,      19,       7,      -6
      27,      17,     765,     780,      18,       9,      12
       4,      13,     373,     134,      16,      11,     -17
      -4,      15,      21,       6,       8,       3,      -5
      12,      13,     321,     262,      15,      -4,       4
      21,      18,    -243,     361,       3,      20,      10
      14,       7,     241,     718,      25,       1,      26
       1,      23,    -459,      74,       0,       5,       3
      -2,      -6,    -339,     332,      -5,      36,      -1
      26,      12,     261,     638,      15,       7,      11
      14,      33,      69,     324,       4,      14,      13
     -16,      12,    -363,     146,       2,      11,       7
      12,      16,    -395,     -66,       1,       6,     -18
      23,      -6,    -459,      36,       0,      -6,      12
     -10,      31,      37,     298,       4,      21,      13
       7,      10,    -539,     140,      -2,      -5,      27
       0,      19,    -687,     142,      -3,       8,      10
      17,       4,    -235,     502,      14,      10,      10
      11,      27,     513,     291,       9,       5,      11
      15,       7,    -319,     357,       5,       6,      24
       7,      -3,    -519,     309,       5,      30,      -7
       9,      15,    -819,      70,      -6,       4,      15
      22,       5,    -259,     556,      10,      22,       7
      14,      30,    1581,     280,      17,      -6,       0
      23,      11,     509,     492,      22,      -9,      -7
       0,      12,    -171,     198,       6,       9,       9
      31,      10,    -579,      65,      -3,       4,      17
      -6,       6,    -123,     120,      14,     -12,      30
       0,       9,     -63,     150,      11,      14,      -7
      12,      11,     509,     646,      22,      17,      10
       8,       7,    -123,     168,      12,       0,       0
       0,      20,    1461,     296,      24,      12,       4
       0,      15,    -159,     178,       5,       6,      11
      19,      24,    2325,    1009,      29,      18,      13
       3,      25,     141,     372,       6,      19,      16
       6,      18,     -99,     108,       5,       4,       1
     -12,       1,    -499,     372,     -10,      20,      14
      14,      19,    -459,     238,       0,      11,      16
      23,      24,     405,     387,       9,       3,      12
      10,       4,    -235,     354,      14,      13,       0
      10,      -4,    -587,     248,       8,       0,      15
      14,      -2,    -507,     346,       6,       5,      22
      21,      -2,    -459,     256,       0,      16,      12
     -11,      17,    -799,     379,      -5,      21,      18
      22,      26,      61,     478,       5,      13,      26
      14,      -9,    -423,       2,      -1,      -1,       4
       2,      30,    -339,     366,       1,      19,      21
       9,       9,     -27,     544,      12,      14,      28
      14,      14,      45,     104,       9,     -10,       3
       4,      27,     -27,     248,       4,       0,      26
       3,      25,    1841,     543,      23,      28,       7
       3,       9,       9,     233,      13,      18,      -8
      20,      18,    1125,     748,      22,      16,       2
       0,      24,    1077,     450,      16,      25,      13
      -7,      21,     381,     126,      10,       8,       7
      23,      11,     -19,     542,      10,      18,       9
      10,      14,     829,     524,      23,      18,      -3
      25,      15,    -219,     370,       4,      19,       7
       0,      39,    1725,     294,      14,      21,       0
       2,      12,     741,     344,      25,      16,      -2
      17,      13,     789,     590,      24,       3,       1
      12,      20,     821,     568,      16,      20,      10
       3,       5,    -379,     266,       4,      27,      -5
       7,      26,    1205,     430,      16,      15,       9
     -14,       6,    -195,     124,      11,      14,       9
      29,      19,    2049,    1493,      33,      21,      16
      21,      18,    -387,     281,       1,      23,       3
       5,      40,    2421,     468,      18,       7,      25
       9,      17,    1989,     864,      36,      18,      18
      12,      11,     465,     618,      21,      20,       5
       3,       1,    -431,     319,       7,      12,      17
      13,      15,    -399,     191,       1,       6,      14
       4,      -2,    -427,     124,      -4,       2,      18
       8,       0,    -459,     528,      27,      19,      -5
       8,      16,    -971,      46,      -8,      11,       6
      24,      16,     309,     566,      12,      11,      12
      11,      26,     165,     218,       6,      -6,      22
      10,       4,    -379,     256,       5,      12,       7
      10,      20,     981,     524,      18,       2,      27
       4,      17,     221,     198,      10,       5,       6
      20,       7,    -515,     168,      -2,       2,      25
       8,       6,     -99,     740,      15,      25,      35
      14,      15,     321,     546,      13,       7,      27
      12,      13,       9,     378,       9,      12,      12
       7,      35,    1361,     389,      13,      10,      15
      16,      14,     325,     424,      14,      10,       2
     -15,      11,    -547,     276,      -2,      13,      16
      25,      19,    -383,      51,       1,      -6,      10
      20,       9,     225,     662,      19,       4,      16
      38,      30,    2901,    1268,      28,      10,      -8
