a,b,w0,x,y,w1
18,80,98,23,69,-46
98,53,151,14,86,-72
60,18,78,43,55,-12
92,80,172,88,17,71
61,20,81,61,70,-9
30,65,95,93,35,58
20,23,43,12,91,-79
74,97,171,18,7,11
67,33,100,49,3,46
100,24,124,98,97,1
78,38,116,40,15,25
51,51,102,35,12,23
27,94,121,72,1,71
57,3,60,77,53,24
96,41,137,7,50,-43
45,55,100,38,45,-7
94,95,189,50,38,12
51,74,125,61,72,-11
1,36,37,75,39,36
29,15,44,82,72,10
92,64,156,50,94,-44
48,100,148,72,86,-14
15,43,58,13,56,-43
93,64,157,3,93,-90
44,26,70,93,86,7
76,6,82,35,26,9
41,37,78,59,3,56
86,37,123,14,38,-24
13,60,73,32,84,-52
34,31,65,1,43,-42
49,60,109,10,10,0
65,49,114,15,59,-44
34,5,39,32,90,-58
54,100,154,24,33,-9
18,27,45,4,41,-37
57,40,97,4,80,-76
44,81,125,52,98,-46
24,16,40,89,84,5
96,89,185,70,54,16
29,31,60,94,37,57
34,4,38,3,44,-41
14,70,84,71,35,36
93,8,101,47,63,-16
79,39,118,26,36,-10
96,44,140,97,18,79
42,56,98,57,42,15
6,34,40,71,79,-8
66,12,78,15,58,-43
71,94,165,41,69,-28
5,25,30,44,64,-20
11,21,32,85,33,52
68,99,167,8,3,5
36,89,125,54,64,-10
47,23,70,80,80,0
51,47,98,6,48,-42
80,43,123,14,22,-8
9,96,105,28,7,21
29,92,121,43,56,-13
97,30,127,79,53,26
65,79,144,66,70,-4
56,47,103,46,1,45
19,22,41,60,70,-10
60,68,128,17,77,-60
83,60,143,73,73,0
36,44,80,83,99,-16
39,21,60,66,70,-4
77,77,154,84,66,18
92,52,144,63,30,33
68,76,144,19,42,-23
71,35,106,20,13,7
58,15,73,16,45,-29
99,92,191,32,5,27
81,15,96,30,92,-62
33,67,100,64,70,-6
19,77,96,34,20,14
23,85,108,90,82,8
88,16,104,37,86,-49
85,18,103,61,74,-13
13,79,92,98,59,39
54,8,62,46,96,-50
22,71,93,53,19,34
56,71,127,68,62,6
30,39,69,72,4,68
25,24,49,38,96,-58
