a,b,w0,x,y,w1
7,35,42,36,24,12
98,10,108,17,24,-7
80,52,132,90,72,18
93,54,147,52,14,38
94,42,136,61,47,14
97,8,105,49,77,-28
84,63,147,43,11,32
38,54,92,21,49,-28
15,57,72,52,72,-20
63,37,100,60,10,50
65,71,136,3,16,-13
6,67,73,14,30,-16
30,59,89,49,84,-35
63,49,112,32,9,23
70,82,152,40,76,-36
75,60,135,29,37,-8
80,15,95,37,11,26
73,73,146,16,56,-40
9,70,79,29,39,-10
71,43,114,80,86,-6
40,73,113,48,30,18
11,14,25,21,53,-32
43,65,108,93,26,67
96,71,167,74,59,15
55,94,149,79,18,61
76,18,94,5,28,-23
45,94,139,81,45,36
9,73,82,62,20,42
90,65,155,21,43,-22
45,15,60,66,97,-31
38,87,125,94,59,35
31,18,49,35,46,-11
2,12,14,78,60,18
16,70,86,25,96,-71
93,20,113,21,79,-58
38,48,86,14,67,-53
33,6,39,78,92,-14
98,97,195,7,53,-46
45,25,70,33,56,-23
74,83,157,26,21,5
12,84,96,91,22,69
86,28,114,94,66,28
4,46,50,19,25,-6
91,26,117,18,69,-51
92,73,165,8,43,-35
28,1,29,65,88,-23
31,77,108,27,38,-11
64,14,78,95,78,17
70,27,97,82,96,-14
86,21,107,100,26,74
18,35,53,66,62,4
79,3,82,87,48,39
10,44,54,49,13,36
37,2,39,26,54,-28
60,62,122,29,72,-43
61,71,132,84,31,53
97,26,123,45,69,-24
92,34,126,8,92,-84
1,46,47,64,32,32
23,88,111,17,21,-4
55,81,136,36,59,-23
79,100,179,88,72,16
21,14,35,4,48,-44
77,56,133,42,93,-51
66,51,117,46,11,35
95,46,141,74,39,35
3,50,53,51,84,-33
5,89,94,79,40,39
60,8,68,33,33,0
36,18,54,73,74,-1
94,49,143,99,42,57
17,64,81,86,55,31
79,32,111,47,29,18
43,8,51,70,24,46
72,98,170,59,23,36
57,70,127,16,27,-11
96,66,162,46,38,8
32,66,98,13,61,-48
37,92,129,26,93,-67
44,17,61,29,38,-9
84,31,115,67,84,-17
78,70,148,30,39,-9
19,19,38,57,75,-18
6,87,93,98,14,84
67,36,103,72,86,-14
62,33,95,1,19,-18
32,87,119,40,91,-51
62,16,78,96,76,20
71,23,94,9,96,-87
69,1,70,1,36,-35
18,65,83,63,34,29
19,93,112,1,82,-81
100,3,103,91,67,24
39,47,86,37,13,24
21,99,120,86,62,24
57,37,94,51,13,38
